Wall time,Step,Value
1618122497.9428606,5372,-70.10763549804688
1618122511.4876156,5373,252.4452362060547
1618122519.9541643,5374,254.34762573242188
1618122528.6983607,5375,247.4084014892578
1618122541.1478548,5376,245.52938842773438
1618122549.4114218,5377,246.8191680908203
1618122566.040399,5378,38.84283447265625
1618122574.965886,5379,257.3623962402344
1618122582.8379014,5380,267.8881530761719
1618122599.164772,5382,241.96800231933594
1618122615.2765326,5384,238.47866821289062
1618122628.5654018,5385,-193.01132202148438
1618122639.5988626,5386,264.0483093261719
1618122648.6567984,5387,204.4280548095703
1618122658.9565783,5388,242.57012939453125
1618122666.1535912,5389,232.39613342285156
1618122682.9652684,5390,-34.46398162841797
1618122698.1908057,5391,220.28482055664062
1618122711.7391284,5392,267.1702880859375
1618122718.7750006,5393,237.57130432128906
1618122735.4932613,5394,24.620325088500977
1618122752.4142516,5395,87.95085906982422
1618122760.8759954,5396,234.17491149902344
1618122768.8936822,5397,220.8489227294922
1618122779.2783597,5398,243.53990173339844
1618122787.443951,5399,257.7740478515625
1618122799.3703022,5400,231.41123962402344
1618122804.016455,5401,-5.279359340667725
1618122808.3390203,5402,-27.290910720825195
1618122820.565391,5403,247.71905517578125
1618122829.180061,5404,231.30308532714844
1618122840.886463,5405,265.3222351074219
1618122850.663874,5406,247.42138671875
1618122867.3859305,5407,9.774388313293457
1618122875.2916925,5408,271.6803283691406
1618122884.2826443,5409,24.37430763244629
1618122893.9100575,5410,263.643798828125
1618122905.6464612,5411,256.4209899902344
1618122922.5938067,5412,51.1803092956543
1618122939.0722134,5413,-28.6412353515625
1618122952.5657294,5414,250.08106994628906
1618122969.1569176,5415,-22.072690963745117
1618122985.870518,5416,148.68008422851562
1618122994.3726869,5417,305.0434875488281
1618123011.0723376,5418,46.66391372680664
1618123019.1542275,5419,247.5713348388672
1618123026.7227762,5420,262.1281433105469
1618123036.7243817,5421,266.5270080566406
1618123049.0050304,5422,168.67030334472656
1618123057.6688898,5423,254.57408142089844
1618123065.3118997,5424,264.5475158691406
1618123081.803252,5425,97.4168930053711
1618123091.567819,5426,-0.20362886786460876
1618123099.2352211,5427,269.4801940917969
1618123106.9670517,5428,257.12213134765625
1618123115.3560014,5429,273.5064392089844
1618123122.1529672,5430,253.00918579101562
1618123130.1208017,5431,265.0406188964844
1618123141.7043164,5432,239.5644989013672
1618123158.2141433,5433,79.5843276977539
1618123166.5284457,5434,264.2511901855469
1618123174.9241943,5435,264.7027893066406
1618123183.476147,5436,267.045166015625
1618123192.1385531,5437,252.79908752441406
1618123205.0484967,5438,270.77606201171875
1618123221.846755,5439,85.27655792236328
1618123229.599522,5440,274.7051696777344
1618123236.8938713,5441,294.3113708496094
1618123244.2784412,5442,276.93841552734375
1618123253.4364543,5443,-14.042153358459473
1618123271.2385297,5445,266.29302978515625
1618123282.16379,5446,287.75775146484375
1618123290.460265,5447,202.2550506591797
